Term,M_univ,K_term,n_sel,x_overlap,expected,p,FDR
p53 signaling pathway,19269,70,99,3,0.3596450256889304,0.005613749060103449,0.5260867431654538
Pancreatic cancer,19269,73,99,3,0.3750583839327417,0.006308188508366145,0.5260867431654538
Chronic myeloid leukemia,19269,74,99,3,0.3801961700140121,0.006550535026660956,0.5260867431654538
Small cell lung cancer,19269,88,99,3,0.4521251751517982,0.010532013399491886,0.5260867431654538
Kaposi sarcoma-associated herpesvirus infection,19269,176,99,4,0.9042503503035964,0.012930248886046101,0.5260867431654538
Epstein-Barr virus infection,19269,180,99,4,0.9248014946286781,0.013940452859987282,0.5260867431654538
Longevity regulating pathway,19269,99,99,3,0.508640822045773,0.014458137303672144,0.5260867431654538
Thyroid cancer,19269,37,99,2,0.19009808500700606,0.015483613800911674,0.5260867431654538
Human cytomegalovirus infection,19269,201,99,4,1.0326950023353574,0.020062406226555626,0.5260867431654538
Cell cycle,19269,114,99,3,0.5857076132648296,0.020982055740139702,0.5260867431654538
Measles,19269,115,99,3,0.5908453993460999,0.02146555335901446,0.5260867431654538
Human T-cell leukemia virus 1 infection,19269,211,99,4,1.0840728631480616,0.02347840007447843,0.5260867431654538
FoxO signaling pathway,19269,123,99,3,0.6319476879962634,0.025552835954744602,0.5260867431654538
PI3K-Akt signaling pathway,19269,323,99,5,1.6595049042503502,0.025574334527118114,0.5260867431654538
RIG-I-like receptor signaling pathway,19269,49,99,2,0.25175151798225126,0.02627609940708903,0.5260867431654538
Apoptosis,19269,131,99,3,0.673049976646427,0.030029353045890987,0.5260867431654538
Viral myocarditis,19269,55,99,2,0.2825782344698739,0.032530381760813264,0.5260867431654538
Endometrial cancer,19269,56,99,2,0.2877160205511443,0.03362433173891376,0.5260867431654538
Hepatitis C,19269,138,99,3,0.7090144792153199,0.03426372418958026,0.5260867431654538
Riboflavin metabolism,19269,7,99,1,0.03596450256889304,0.03542032137411521,0.5260867431654538
mTOR signaling pathway,19269,140,99,3,0.7192900513778608,0.0355275779301685,0.5260867431654538
Influenza A,19269,141,99,3,0.7244278374591312,0.036168463592624954,0.5260867431654538
Acute myeloid leukemia,19269,63,99,2,0.32368052312003737,0.041671895882308234,0.5797828992321146
Melanoma,19269,70,99,2,0.3596450256889304,0.050361088069337236,0.6611399599641217
Non-small cell lung cancer,19269,71,99,2,0.36478281177020083,0.05165155937219701,0.6611399599641217
Glioma,19269,74,99,2,0.3801961700140121,0.05559329495156598,0.6842251686346582
Human immunodeficiency virus 1 infection,19269,182,99,3,0.9350770667912192,0.06741243526711063,0.7663347983325608
Colorectal cancer,19269,84,99,2,0.43157403082671647,0.06944909109888832,0.7663347983325608
IL-17 signaling pathway,19269,84,99,2,0.43157403082671647,0.06944909109888832,0.7663347983325608
Other glycan degradation,19269,17,99,1,0.08734236338159738,0.08387639050113052,0.8429878200071631
AGE-RAGE signaling pathway in diabetic complications,19269,94,99,2,0.48295189163942087,0.08429878200071632,0.8429878200071631
Prostate cancer,19269,94,99,2,0.48295189163942087,0.08429878200071632,0.8429878200071631
Ras signaling pathway,19269,219,99,3,1.1251751517982251,0.10320354036629341,0.9089919708507254
Biosynthesis of unsaturated fatty acids,19269,22,99,1,0.11303129378794954,0.10719279246445902,0.9089919708507254
Fatty acid elongation,19269,22,99,1,0.11303129378794954,0.10719279246445902,0.9089919708507254
Cholinergic synapse,19269,111,99,2,0.5702942550210183,0.11145442972518617,0.9089919708507254
Osteoclast differentiation,19269,111,99,2,0.5702942550210183,0.11145442972518617,0.9089919708507254
Neurotrophin signaling pathway,19269,114,99,2,0.5857076132648296,0.11646037418906513,0.9089919708507254
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,19269,25,99,1,0.12844465203176086,0.12089964569063873,0.9089919708507254
Maturity onset diabetes of the young,19269,26,99,1,0.13358243811303128,0.12542214283658695,0.9089919708507254
Lysosome,19269,121,99,2,0.6216721158337225,0.12835531001936856,0.9089919708507254
Relaxin signaling pathway,19269,124,99,2,0.6370854740775338,0.13353825419581447,0.9089919708507254
Yersinia infection,19269,124,99,2,0.6370854740775338,0.13353825419581447,0.9089919708507254
Fructose and mannose metabolism,19269,28,99,1,0.14385801027557216,0.13439815724275433,0.9089919708507254
