Term,M_univ,K_term,n_sel,x_overlap,expected,p,FDR
response to UV-C (GO:0010225),19269,8,99,2,0.04110228865016348,0.0007170861291905756,1.0
response to UV (GO:0009411),19269,86,99,4,0.4418496029892574,0.0010083744390457661,1.0
positive regulation of pseudopodium assembly (GO:0031274),19269,11,99,2,0.05651564689397477,0.0013944645230705404,1.0
regulation of pseudopodium assembly (GO:0031272),19269,11,99,2,0.05651564689397477,0.0013944645230705404,1.0
positive regulation of actin filament polymerization (GO:0030838),19269,44,99,3,0.2260625875758991,0.0014953977201259967,1.0
regulation of mitotic cell cycle (GO:0007346),19269,165,99,5,0.8477347034096215,0.0016213417926421044,1.0
modification-dependent protein catabolic process (GO:0019941),19269,185,99,5,0.9504904250350303,0.0026687908650809954,1.0
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971),19269,18,99,2,0.09248014946286781,0.0037893328039251793,1.0
protein localization to plasma membrane (GO:0072659),19269,124,99,4,0.6370854740775338,0.003841000182362986,1.0
oligodendrocyte differentiation (GO:0048709),19269,19,99,2,0.09761793554413825,0.0042210095992570315,1.0
double-strand break repair (GO:0006302),19269,128,99,4,0.6576366184026157,0.004300418135154475,1.0
protein polyubiquitination (GO:0000209),19269,299,99,6,1.53619803829986,0.004455421056861145,1.0
positive regulation of cell cycle G2/M phase transition (GO:1902751),19269,21,99,2,0.10789350770667912,0.005149191545581926,1.0
positive regulation of neuron apoptotic process (GO:0043525),19269,23,99,2,0.11816907986922,0.006162289112642764,1.0
G1/S transition of mitotic cell cycle (GO:0000082),19269,76,99,3,0.390471742176553,0.0070517167509521386,1.0
positive regulation of cytoskeleton organization (GO:0051495),19269,78,99,3,0.4007473143390939,0.007575080848074674,1.0
protein K11-linked ubiquitination (GO:0070979),19269,26,99,2,0.13358243811303128,0.007837217041934266,1.0
positive regulation of double-strand break repair (GO:2000781),19269,28,99,2,0.14385801027557216,0.00905477803766177,1.0
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),19269,86,99,3,0.4418496029892574,0.009894643828409754,1.0
regulation of cell cycle (GO:0051726),19269,264,99,5,1.3563755254553946,0.01170698393841987,1.0
negative regulation of neurogenesis (GO:0050768),19269,33,99,2,0.16954694068192433,0.012439378591401828,1.0
synaptic vesicle endocytosis (GO:0048488),19269,34,99,2,0.17468472676319477,0.013173012266140862,1.0
response to peptide (GO:1901652),19269,35,99,2,0.1798225128444652,0.013925065519889602,1.0
positive regulation of protein-containing complex assembly (GO:0031334),19269,100,99,3,0.5137786081270435,0.01485077412388914,1.0
DNA synthesis involved in DNA repair (GO:0000731),19269,37,99,2,0.19009808500700606,0.015483613800911674,1.0
positive regulation of response to biotic stimulus (GO:0002833),19269,39,99,2,0.20037365716954694,0.01711340523597665,1.0
telomere organization (GO:0032200),19269,39,99,2,0.20037365716954694,0.01711340523597665,1.0
cellular response to DNA damage stimulus (GO:0006974),19269,294,99,5,1.5105091078935078,0.01786804115394712,1.0
flavin-containing compound metabolic process (GO:0042726),19269,4,99,1,0.02055114432508174,0.02039488050566405,1.0
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141),19269,4,99,1,0.02055114432508174,0.02039488050566405,1.0
regulation of sodium:proton antiporter activity (GO:0032415),19269,4,99,1,0.02055114432508174,0.02039488050566405,1.0
regulation of synaptic vesicle recycling (GO:1903421),19269,4,99,1,0.02055114432508174,0.02039488050566405,1.0
riboflavin metabolic process (GO:0006771),19269,4,99,1,0.02055114432508174,0.02039488050566405,1.0
cellular response to ionizing radiation (GO:0071479),19269,43,99,2,0.2209248014946287,0.020580369094826183,1.0
response to amyloid-beta (GO:1904645),19269,43,99,2,0.2209248014946287,0.020580369094826183,1.0
regulation of phosphorylation (GO:0042325),19269,114,99,3,0.5857076132648296,0.020982055740139702,1.0
negative regulation of cell projection organization (GO:0031345),19269,44,99,2,0.2260625875758991,0.021489177255526185,1.0
base-excision repair (GO:0006284),19269,45,99,2,0.23120037365716953,0.02241442844844515,1.0
oligosaccharide metabolic process (GO:0009311),19269,45,99,2,0.23120037365716953,0.02241442844844515,1.0
positive regulation of neuron death (GO:1901216),19269,45,99,2,0.23120037365716953,0.02241442844844515,1.0
signal transduction in response to DNA damage (GO:0042770),19269,47,99,2,0.24147594581971044,0.02431350416278245,1.0
telomere maintenance (GO:0000723),19269,47,99,2,0.24147594581971044,0.02431350416278245,1.0
cellular response to hydroxyurea (GO:0072711),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
establishment of protein localization to vacuole (GO:0072666),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
GDP-mannose metabolic process (GO:0019673),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
natural killer cell activation involved in immune response (GO:0002323),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
negative regulation of myosin-light-chain-phosphatase activity (GO:0035509),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
positive regulation of megakaryocyte differentiation (GO:0045654),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
purine-containing compound metabolic process (GO:0072521),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
regulation of core promoter binding (GO:1904796),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
response to hydroxyurea (GO:0072710),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
ribosome localization (GO:0033750),19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
ubiquitin-dependent protein catabolic process (GO:0006511),19269,323,99,5,1.6595049042503502,0.025574334527118114,1.0
response to light stimulus (GO:0009416),19269,49,99,2,0.25175151798225126,0.02627609940708903,1.0
mitotic DNA damage checkpoint signaling (GO:0044773),19269,50,99,2,0.25688930406352173,0.02728075547523436,1.0
Rho protein signal transduction (GO:0007266),19269,50,99,2,0.25688930406352173,0.02728075547523436,1.0
regulation of cyclin-dependent protein kinase activity (GO:1904029),19269,51,99,2,0.26202709014479214,0.028300740658639956,1.0
protein localization to cell periphery (GO:1990778),19269,128,99,3,0.6576366184026157,0.028305159278731156,1.0
Ras protein signal transduction (GO:0007265),19269,129,99,3,0.662774404483886,0.0288738342186873,1.0
glycoprotein metabolic process (GO:0009100),19269,52,99,2,0.26716487622606255,0.02933587435755431,1.0
protein ubiquitination (GO:0016567),19269,455,99,6,2.3376926669780476,0.02990012138796721,1.0
positive regulation of mitotic cell cycle phase transition (GO:1901992),19269,53,99,2,0.272302662307333,0.030385977390110914,1.0
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
lymphocyte apoptotic process (GO:0070227),19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
