Term,M_univ,K_term,n_sel,x_overlap,expected,p,FDR
Abacavir Metabolism R-HSA-2161541,19269,5,99,2,0.025688930406352173,0.0002586942964890153,0.46255552666146954
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,19269,34,99,3,0.17468472676319477,0.0007012397955774638,0.46255552666146954
Diseases Of Mitotic Cell Cycle R-HSA-9675126,19269,35,99,3,0.1798225128444652,0.0007641335792865686,0.46255552666146954
Abacavir ADME R-HSA-2161522,19269,10,99,2,0.051377860812704346,0.0011447559297580489,0.5197191921101542
Transcriptional Regulation By RUNX2 R-HSA-8878166,19269,113,99,4,0.5805698271835591,0.002751588195716246,0.9993768326841405
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,19269,17,99,2,0.08734236338159738,0.003379573398353175,1.0
Processive Synthesis On C-strand Of Telomere R-HSA-174414,19269,19,99,2,0.09761793554413825,0.0042210095992570315,1.0
S Phase R-HSA-69242,19269,148,99,4,0.7603923400280242,0.007158083166654495,1.0
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,19269,77,99,3,0.3956095282578235,0.007310611641514141,1.0
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,19269,344,99,6,1.7673984119570296,0.008659223282724051,1.0
MAPK6/MAPK4 Signaling R-HSA-5687128,19269,83,99,3,0.42643624474544606,0.008981978018191984,1.0
DNA Repair R-HSA-73894,19269,250,99,5,1.2844465203176088,0.009406255933708377,1.0
Opioid Signaling R-HSA-111885,19269,86,99,3,0.4418496029892574,0.009894643828409754,1.0
Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417,19269,30,99,2,0.15413358243811304,0.010351065309139512,1.0
Transcriptional Regulation By VENTX R-HSA-8853884,19269,34,99,2,0.17468472676319477,0.013173012266140862,1.0
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,19269,282,99,5,1.4488556749182624,0.015192967338355899,1.0
GDP-fucose Biosynthesis R-HSA-6787639,19269,3,99,1,0.015413358243811303,0.015335095102109021,1.0
Synthesis Of DNA R-HSA-69239,19269,109,99,3,0.5600186828584773,0.018655863965584996,1.0
Vitamin B2 (Riboflavin) Metabolism R-HSA-196843,19269,4,99,1,0.02055114432508174,0.02039488050566405,1.0
Metabolism Of Proteins R-HSA-392499,19269,1645,99,15,8.451658103689864,0.020538943510635604,1.0
DNA Replication R-HSA-69306,19269,115,99,3,0.5908453993460999,0.02146555335901446,1.0
Cell Cycle R-HSA-1640170,19269,543,99,7,2.789817842129846,0.021861958728922805,1.0
Extension Of Telomeres R-HSA-180786,19269,45,99,2,0.23120037365716953,0.02241442844844515,1.0
Cyclin D Associated Events In G1 R-HSA-69231,19269,46,99,2,0.23633815973844,0.023355933362417772,1.0
"Cell Cycle, Mitotic R-HSA-69278",19269,436,99,6,2.2400747314339093,0.024956015914741215,1.0
Deadenylation-dependent mRNA Decay R-HSA-429914,19269,48,99,2,0.24661373190098085,0.025286954481459203,1.0
Activated NTRK2 Signals Thru CDK5 R-HSA-9032845,19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119,19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
Release Of Apoptotic Factors From Mitochondria R-HSA-111457,19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
Sensing Of DNA Double Strand Breaks R-HSA-5693548,19269,5,99,1,0.025688930406352173,0.0254289270579578,1.0
Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,19269,49,99,2,0.25175151798225126,0.02627609940708903,1.0
Neddylation R-HSA-8951664,19269,219,99,4,1.1251751517982251,0.02645122321435547,1.0
Signaling By Nuclear Receptors R-HSA-9006931,19269,219,99,4,1.1251751517982251,0.02645122321435547,1.0
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,19269,52,99,2,0.26716487622606255,0.02933587435755431,1.0
RHOQ GTPase Cycle R-HSA-9013406,19269,53,99,2,0.272302662307333,0.030385977390110914,1.0
IkBA Variant Leads To EDA-ID R-HSA-5603029,19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
PTK6 Regulates Cell Cycle R-HSA-8849470,19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
WNT Mediated Activation Of DVL R-HSA-201688,19269,6,99,1,0.030826716487622606,0.030437364361802395,1.0
Mitotic G1 Phase And G1/S Transition R-HSA-453279,19269,137,99,3,0.7038766931340495,0.0336407760249003,1.0
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,19269,57,99,2,0.2928538066324148,0.03473254831174248,1.0
OAS Antiviral Response R-HSA-8983711,19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
POLB-Dependent Long Patch Base Excision Repair R-HSA-110362,19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
Recycling Of eIF2:GDP R-HSA-72731,19269,7,99,1,0.03596450256889304,0.03542032137411521,1.0
Telomere Maintenance R-HSA-157579,19269,58,99,2,0.2979915927136852,0.03585485924464937,1.0
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,19269,59,99,2,0.3031293787949556,0.036991093664395916,1.0
CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729,19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
IRAK1 Recruits IKK Complex R-HSA-937039,19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332,19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
RUNX3 Regulates WNT Signaling R-HSA-8951430,19269,8,99,1,0.04110228865016348,0.04037792640910441,1.0
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,19269,63,99,2,0.32368052312003737,0.041671895882308234,1.0
Activation Of NF-kappaB In B Cells R-HSA-1169091,19269,63,99,2,0.32368052312003737,0.041671895882308234,1.0
ESR-mediated Signaling R-HSA-8939211,19269,151,99,3,0.7758056982718355,0.042903121161444895,1.0
Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,19269,9,99,1,0.046240074731433906,0.04531030714143914,1.0
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,19269,68,99,2,0.34936945352638954,0.04781622840988626,1.0
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,19269,68,99,2,0.34936945352638954,0.04781622840988626,1.0
Cellular Response To Hypoxia R-HSA-1234174,19269,68,99,2,0.34936945352638954,0.04781622840988626,1.0
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,19269,69,99,2,0.35450723960765995,0.04908259266907341,1.0
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,19269,69,99,2,0.35450723960765995,0.04908259266907341,1.0
Bicarbonate Transporters R-HSA-425381,19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932,19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
Ethanol Oxidation R-HSA-71384,19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
RUNX3 Regulates p14-ARF R-HSA-8951936,19269,10,99,1,0.051377860812704346,0.05021759060940368,1.0
