gene_u,gene_v,weight
IKBKB,CHUK,13
NFKB1,RELA,13
PIK3R1,AKT2,12
PIK3R2,PIK3CA,12
PIK3CA,AKT2,12
AKT3,PIK3CB,12
PIK3CD,PIK3CB,12
PIK3R2,PIK3R3,12
TP53,BAX,12
PIK3CA,AKT3,12
AKT1,PIK3CB,12
PIK3CD,PIK3R3,12
PIK3R2,PIK3CD,12
PIK3R1,PIK3CD,12
AKT3,AKT1,12
PIK3CA,PIK3CB,12
AKT2,PIK3CD,12
PIK3CA,PIK3R3,12
PIK3R1,PIK3CB,12
PIK3R2,PIK3CB,12
AKT2,PIK3CB,12
PIK3R3,PIK3CB,12
AKT1,PIK3R3,12
PIK3R2,PIK3R1,12
PIK3R2,AKT1,12
NFKB1,CHUK,12
AKT2,AKT1,12
PIK3R1,PIK3CA,12
AKT3,PIK3R3,12
PIK3CA,AKT1,12
PIK3R2,AKT2,12
PIK3R2,AKT3,12
PIK3CA,PIK3CD,12
AKT3,PIK3CD,12
PIK3CD,AKT1,12
PIK3R1,PIK3R3,12
AKT2,PIK3R3,12
AKT3,AKT2,12
IKBKB,NFKB1,12
PIK3R1,AKT3,12
IKBKB,RELA,12
PIK3R1,AKT1,12
RELA,CHUK,12
AKT2,RELA,11
AKT3,IKBKB,11
CCND1,CDKN1A,11
PIK3R3,NFKB1,11
PIK3CD,BAX,11
PIK3R3,CHUK,11
PIK3CD,RELA,11
AKT3,CHUK,11
NFKB1,NFKBIA,11
PIK3R2,BAX,11
PIK3R2,NFKB1,11
AKT3,RELA,11
PIK3R1,CHUK,11
IKBKB,PIK3R3,11
PIK3R3,BAX,11
AKT2,BAX,11
NFKB1,PIK3CB,11
AKT2,NFKB1,11
PIK3R1,IKBKB,11
AKT3,BAX,11
TP53,CCND1,11
PIK3CD,CHUK,11
PIK3R1,BAX,11
PIK3CA,IKBKB,11
AKT3,NFKB1,11
PIK3R1,NFKB1,11
AKT2,CHUK,11
PIK3R2,CHUK,11
PIK3CA,RELA,11
IKBKB,NFKBIA,11
NFKBIA,RELA,11
BAX,RELA,11
IKBKB,PIK3CB,11
PIK3CB,RELA,11
NFKBIA,CHUK,11
PIK3CA,NFKB1,11
PIK3CD,NFKB1,11
PIK3CB,CHUK,11
PIK3R2,IKBKB,11
AKT2,IKBKB,11
PIK3R3,RELA,11
BAX,NFKB1,11
IKBKB,AKT1,11
BAX,PIK3CB,11
AKT1,NFKB1,11
PIK3CA,BAX,11
AKT1,BAX,11
IKBKB,PIK3CD,11
AKT1,CHUK,11
PIK3R1,RELA,11
PIK3CA,CHUK,11
AKT1,RELA,11
PIK3R2,RELA,11
TP53,PIK3CB,10
MAPK3,MAPK1,10
AKT2,TP53,10
PIK3R1,TP53,10
TP53,RELA,10
AKT1,TP53,10
CDK6,CDK4,10
TP53,CDK4,10
TP53,NFKB1,10
CDK4,CCND1,10
PIK3R3,TP53,10
AKT3,TP53,10
BAK1,BAX,10
BAX,CCND1,10
PIK3CD,TP53,10
BAX,CHUK,10
BAX,CDK4,10
TP53,CDKN1A,10
PIK3R2,TP53,10
IKBKB,BAX,10
PIK3CA,TP53,10
GADD45A,GADD45G,9
PIK3R3,NFKBIA,9
PIK3CD,NFKBIA,9
IKBKB,BAK1,9
AKT2,NFKBIA,9
PIK3CD,CDK4,9
IKBKB,MAPK3,9
PIK3R3,CDK4,9
AKT3,NFKBIA,9
AKT3,CDK4,9
PIK3R2,CDK4,9
CASP8,CASP3,9
MAPK3,CHUK,9
PIK3R1,CCND1,9
IKBKB,MAPK1,9
BAK1,TP53,9
BAX,CASP9,9
NFKB1,CDK4,9
IKBKB,TP53,9
MAPK1,CHUK,9
AKT2,BAK1,9
CASP3,CASP9,9
BAX,CDK6,9
CASP3,CYCS,9
PIK3R1,BAK1,9
BAX,CDKN1A,9
IKBKB,CCND1,9
PIK3R2,BAK1,9
PIK3R3,BAK1,9
BAK1,PIK3CB,9
PIK3CA,CCND1,9
PIK3R2,NFKBIA,9
PIK3R1,CDK4,9
AKT1,NFKBIA,9
CYCS,CASP9,9
PIK3CB,CDK4,9
CDK4,RELA,9
AKT1,CCND1,9
PIK3CB,NFKBIA,9
MAPK9,MAPK8,9
PIK3CA,CDK4,9
MAPK8,MAPK10,9
CDK4,CHUK,9
AKT3,CCND1,9
PIK3CA,BAK1,9
MAPK9,CHUK,9
PIK3CA,NFKBIA,9
IKBKB,CDK4,9
BAK1,NFKB1,9
AKT1,CDK4,9
IKBKB,MAPK10,9
AKT1,BAK1,9
PIK3R3,CCND1,9
CCND1,CHUK,9
MAPK8,CHUK,9
