gene,degree,w_degree,cent
IKBKB,772,1570,0.7829614604462475
CHUK,772,1570,0.7829614604462475
NFKB1,764,1546,0.7748478701825557
RELA,764,1546,0.7748478701825557
PIK3R2,752,1537,0.7626774847870182
PIK3R1,752,1537,0.7626774847870182
PIK3CA,752,1537,0.7626774847870182
AKT3,752,1537,0.7626774847870182
AKT2,752,1537,0.7626774847870182
PIK3CD,752,1537,0.7626774847870182
AKT1,752,1537,0.7626774847870182
PIK3R3,752,1537,0.7626774847870182
PIK3CB,752,1537,0.7626774847870182
BAX,747,1520,0.757606490872211
TP53,751,1493,0.7616632860040567
CCND1,720,1441,0.7302231237322515
NFKBIA,700,1376,0.7099391480730223
CDK4,678,1369,0.6876267748478702
CDKN1A,677,1273,0.6866125760649087
MAPK3,673,1178,0.6825557809330629
MAPK1,673,1178,0.6825557809330629
CASP3,628,1168,0.6369168356997972
CDK6,606,1159,0.6146044624746451
CASP9,606,1157,0.6146044624746451
BAK1,577,1143,0.5851926977687627
MAPK9,641,1133,0.6501014198782962
MAPK8,641,1133,0.6501014198782962
MAPK10,641,1133,0.6501014198782962
CASP8,608,1129,0.6166328600405679
MAP2K1,628,1095,0.6369168356997972
CYCS,585,1085,0.5933062880324543
KRAS,616,1053,0.6247464503042597
RB1,578,1046,0.5862068965517241
E2F1,578,1046,0.5862068965517241
E2F3,578,1046,0.5862068965517241
E2F2,578,1046,0.5862068965517241
CDK2,591,1031,0.5993914807302231
JAK1,550,1027,0.5578093306288032
MAP2K2,613,1023,0.6217038539553752
IL6,590,1023,0.5983772819472617
MYC,573,1010,0.5811359026369168
TRADD,549,1006,0.5567951318458417
FADD,549,1006,0.5567951318458417
BID,552,998,0.5598377281947262
NRAS,603,981,0.6115618661257607
HRAS,603,981,0.6115618661257607
TRAF3,523,963,0.5304259634888439
FAS,530,944,0.537525354969574
TNF,568,927,0.5760649087221095
JUN,550,891,0.5578093306288032
GADD45B,535,881,0.5425963488843814
GADD45A,535,881,0.5425963488843814
GADD45G,535,881,0.5425963488843814
IKBKE,484,876,0.4908722109533469
TBK1,484,876,0.4908722109533469
APAF1,485,856,0.4918864097363083
RAF1,506,849,0.513184584178499
TRAF2,517,839,0.524340770791075
CCND3,492,825,0.4989858012170385
STAT1,451,817,0.45740365111561865
CCND2,506,807,0.513184584178499
STAT3,467,799,0.473630831643002
IFNA14,440,793,0.4462474645030426
IRF3,440,793,0.4462474645030426
IRF7,440,793,0.4462474645030426
TNFRSF1A,521,792,0.5283975659229209
TRAF6,508,775,0.5152129817444219
CCNE1,481,772,0.48782961460446245
CCNE2,481,772,0.48782961460446245
CREBBP,517,760,0.524340770791075
EP300,517,760,0.524340770791075
ICAM1,482,758,0.48884381338742394
BCL2L1,479,755,0.48580121703853957
EIF2AK2,427,745,0.4330628803245436
STAT2,427,745,0.4330628803245436
IRF9,427,745,0.4330628803245436
TYK2,427,745,0.4330628803245436
IFNAR2,427,745,0.4330628803245436
IFNAR1,427,745,0.4330628803245436
FOS,496,712,0.5030425963488844
CDKN1B,439,688,0.44523326572008115
MDM2,499,683,0.5060851926977687
ATM,465,644,0.4716024340770791
DDB2,455,643,0.4614604462474645
FASLG,410,643,0.4158215010141988
SKP2,488,628,0.4949290060851927
GSK3B,433,622,0.43914807302231235
HLA-B,426,618,0.43204868154158216
HLA-G,426,618,0.43204868154158216
HLA-F,426,618,0.43204868154158216
HLA-A,426,618,0.43204868154158216
HLA-E,426,618,0.43204868154158216
HLA-C,426,618,0.43204868154158216
DDX58,355,618,0.36004056795131845
MAVS,355,618,0.36004056795131845
MAPK11,424,607,0.4300202839756592
MAPK13,424,607,0.4300202839756592
MAPK14,424,607,0.4300202839756592
MAPK12,424,607,0.4300202839756592
SMAD3,385,590,0.39046653144016225
TGFB2,385,590,0.39046653144016225
TGFB3,385,590,0.39046653144016225
TGFB1,385,590,0.39046653144016225
SMAD4,385,590,0.39046653144016225
CXCL10,378,587,0.38336713995943206
HLA-DPA1,408,583,0.41379310344827586
HLA-DQB1,408,583,0.41379310344827586
HLA-DMB,408,583,0.41379310344827586
HLA-DMA,408,583,0.41379310344827586
HLA-DRB5,408,583,0.41379310344827586
HLA-DOA,408,583,0.41379310344827586
HLA-DRB1,408,583,0.41379310344827586
HLA-DRA,408,583,0.41379310344827586
HLA-DOB,408,583,0.41379310344827586
HLA-DPB1,408,583,0.41379310344827586
HLA-DQA1,408,583,0.41379310344827586
HLA-DQA2,408,583,0.41379310344827586
BCL2,381,579,0.38640973630831643
OAS2,342,570,0.34685598377281945
OAS1,342,570,0.34685598377281945
OAS3,342,570,0.34685598377281945
MAP2K4,401,564,0.4066937119675456
CDKN2A,361,537,0.3661257606490872
ANAPC5,446,533,0.45233265720081134
CDKN2B,398,532,0.40365111561866124
BAD,319,526,0.3235294117647059
EIF2S1,332,521,0.33671399594320484
MAP3K14,401,519,0.4066937119675456
CCNB2,389,514,0.3945233265720081
JAK3,357,503,0.3620689655172414
CD3E,357,503,0.3620689655172414
CD3D,357,503,0.3620689655172414
CD3G,357,503,0.3620689655172414
CCNA2,375,502,0.3803245436105477
CCNA1,375,502,0.3803245436105477
RIPK1,351,494,0.35598377281947263
PTEN,385,488,0.39046653144016225
CREB1,385,483,0.39046653144016225
NFKBIB,299,481,0.30324543610547666
RAC1,335,480,0.33975659229208927
TGFBR2,336,477,0.3407707910750507
TGFBR1,336,477,0.3407707910750507
CSF2,375,468,0.3803245436105477
HDAC2,381,463,0.38640973630831643
HDAC1,381,463,0.38640973630831643
TLR3,321,452,0.3255578093306288
TICAM1,321,452,0.3255578093306288
ANAPC2,381,450,0.38640973630831643
CDC23,381,450,0.38640973630831643
ANAPC10,381,450,0.38640973630831643
ANAPC7,381,450,0.38640973630831643
CDC26,381,450,0.38640973630831643
CDC27,381,450,0.38640973630831643
CDC20,381,450,0.38640973630831643
ANAPC1,381,450,0.38640973630831643
ANAPC11,381,450,0.38640973630831643
CDC16,381,450,0.38640973630831643
